Team 1,Team 2,Score,Map,T1 Atk,T1 Def,T2 Atk,T2 Def,Event,Match,Date,Pick,T1 Ban 1,T1 Ban 2,T1 Ban 3,T1 Ban 4,T2 Ban 1,T2 Ban 2,T2 Ban 3,T2 Ban 4,Veto Start,VOD,T1 RT Start,T1 OT Start,T1 ATK RT,T1 DEF RT,T1 ATK OT,T1 DEF OT,T2 ATK RT,T2 DEF RT,T2 ATK OT,T2 DEF OT
Team BDS,FURIA Esports,7 : 3,Bank,Osa,Mira,Deimos,Kaid,Esports World Cup 2024,Semifinals,2024-08-03 18:00:00,T2,,,,,,,,,T1,,def,,3,4,,,2,1,,
Team BDS,FURIA Esports,0 : 0,Nighthaven Labs,,,,,Esports World Cup 2024,Semifinals,2024-08-03 18:00:00,Dec.,,,,,,,,,T1,,,,,,,,,,,
Team BDS,FaZe Clan,5 : 7,Nighthaven Labs,Ying,Mira,Montagne,Azami,Esports World Cup 2024,Quarterfinals,2024-08-02 18:00:00,T1,Oregon,Consulate,Kafe Dostoyevsky,,Chalet,Border,Clubhouse,,T1,,atk,,1,4,,,2,5,,
Team BDS,FaZe Clan,7 : 0,Bank,Ash,Valkyrie,Montagne,Kaid,Esports World Cup 2024,Quarterfinals,2024-08-02 18:00:00,T2,,,,,,,,,T1,,def,,1,6,,,0,0,,
Team BDS,FaZe Clan,7 : 2,Skyscraper,Montagne,Valkyrie,Blitz,Tubarão,Esports World Cup 2024,Quarterfinals,2024-08-02 18:00:00,Dec.,,,,,,,,,T1,,def,,2,5,,,1,1,,
Team BDS,w7m esports,7 : 2,Nighthaven Labs,Ying,Kaid,Montagne,Valkyrie,Esports World Cup 2024,Upper Bracket Semifinals,2024-07-31 12:40:00,Dec.,Kafe Dostoyevsky,Chalet,Border,Consulate,Bank,Clubhouse,Oregon,Skyscraper,T1,,def,,2,5,,,1,1,,
Team BDS,Team Cruelty,7 : 4,Bank,Osa,Valkyrie,Deimos,Tubarão,Esports World Cup 2024,Upper Bracket Quarterfinals,2024-07-31 10:00:00,Dec.,,,,,,,,,,,def,,2,5,,,1,3,,
Team Secret,Team BDS,4 : 7,Chalet,Dokkaebi,Azami,Valkyrie,Ying,EWC Europe CQ,Upper Bracket Round 2,2024-07-06 16:00:00,T1,Oregon,Kafe Dostoyevsky,Clubhouse,,Border,Skyscraper,Consulate,,T1,https://www.youtube.com/live/eZJFZUpGPDg?si=PgG10VSskgcAoUbe&t=2115,atk,,3,1,,,4,3,,
Team Secret,Team BDS,3 : 7,Bank,Hibana,Kaid,Mira,Ying,EWC Europe CQ,Upper Bracket Round 2,2024-07-06 16:00:00,T2,,,,,,,,,T1,https://www.youtube.com/live/eZJFZUpGPDg?si=GeJGVtLYrExI6jHc&t=5990,def,,2,1,,,5,2,,
Team Secret,Team BDS,0 : 0,Nighthaven Labs,,,,,EWC Europe CQ,Upper Bracket Round 2,2024-07-06 16:00:00,Dec.,,,,,,,,,T1,,,,,,,,,,,
Virtus.pro,Team BDS,7 : 8,Kafe Dostoyevsky,,,,,EWC Europe CQ,Upper Bracket Round 1,2024-07-05 16:00:00,T1,Skyscraper,Nighthaven Labs,Consulate,,Bank,Clubhouse,Border,,T1,,def,atk,3,3,1,0,3,3,1,1
Virtus.pro,Team BDS,7 : 3,Chalet,,,,,EWC Europe CQ,Upper Bracket Round 1,2024-07-05 16:00:00,T2,,,,,,,,,T1,,def,,3,4,,,2,1,,
Virtus.pro,Team BDS,3 : 7,Oregon,,,,,EWC Europe CQ,Upper Bracket Round 1,2024-07-05 16:00:00,Dec.,,,,,,,,,T1,,def,,0,3,,,3,4,,
Team BDS,MamanJaegers,7 : 3,Bank,Montagne,Azami,Nøkk,Kaid,EWC Europe OQ,Lower Bracket Quarterfinals,2024-06-23 16:00:00,T1,Nighthaven Labs,Oregon,Clubhouse,,Skyscraper,Border,Consulate,,T1,,atk,,3,4,,,0,3,,
Team BDS,MamanJaegers,7 : 5,Chalet,Dokkaebi,Maestro,Deimos,Valkyrie,EWC Europe OQ,Lower Bracket Quarterfinals,2024-06-23 16:00:00,T2,,,,,,,,,T1,,atk,,3,4,,,2,3,,
Team BDS,MamanJaegers,0 : 0,Kafe Dostoyevsky,,,,,EWC Europe OQ,Lower Bracket Quarterfinals,2024-06-23 16:00:00,Dec.,,,,,,,,,T1,,,,,,,,,,,
Team BDS,Virtus.pro,5 : 7,Clubhouse,,,,,EWC Europe OQ,Upper Bracket Quarterfinals,2024-06-22 16:00:00,T1,Bank,Oregon,Consulate,,Skyscraper,Nighthaven Labs,Chalet,,T1,,,,,,,,,,,
Team BDS,Virtus.pro,6 : 8,Kafe Dostoyevsky,,,,,EWC Europe OQ,Upper Bracket Quarterfinals,2024-06-22 16:00:00,T2,,,,,,,,,T1,,,,,,,,,,,
Team BDS,Virtus.pro,0 : 0,Border,,,,,EWC Europe OQ,Upper Bracket Quarterfinals,2024-06-22 16:00:00,Dec.,,,,,,,,,T1,,,,,,,,,,,
Team BDS,Dunlimited,1 : 0,Consulate,,,,,EWC Europe OQ,Upper Bracket Round 1,2024-06-21 16:00:00,T1,Oregon,Kafe Dostoyevsky,Bank,,Border,Nighthaven Labs,Skyscraper,,T1,,,,,,,,,,,
Team BDS,Dunlimited,1 : 0,Chalet,,,,,EWC Europe OQ,Upper Bracket Round 1,2024-06-21 16:00:00,T2,,,,,,,,,T1,,,,,,,,,,,
Team BDS,Dunlimited,0 : 0,Clubhouse,,,,,EWC Europe OQ,Upper Bracket Round 1,2024-06-21 16:00:00,Dec.,,,,,,,,,T1,,,,,,,,,,,
Team BDS,beastcoast,4 : 7,Skyscraper,Montagne,Azami,Dokkaebi,Fenrir,BLAST R6 Major Manchester 2024,Grand Final,2024-05-26 16:30:00,T2,Nighthaven Labs,Oregon,,,Clubhouse,Bank,,,T2,https://www.youtube.com/watch?v=tZ6KQrT9Cak,def,,1,3,,,3,4,,
Team BDS,beastcoast,7 : 3,Consulate,Montagne,Azami,Dokkaebi,Fenrir,BLAST R6 Major Manchester 2024,Grand Final,2024-05-26 16:30:00,T1,,,,,,,,,T2,https://www.youtube.com/watch?v=tZ6KQrT9Cak,atk,,4,3,,,1,2,,
Team BDS,beastcoast,7 : 5,Chalet,Montagne,Azami,Ying,Fenrir,BLAST R6 Major Manchester 2024,Grand Final,2024-05-26 16:30:00,T2,,,,,,,,,T2,https://www.youtube.com/watch?v=tZ6KQrT9Cak,atk,,2,5,,,1,4,,
Team BDS,beastcoast,5 : 7,Kafe Dostoyevsky,Montagne,Azami,Ying,Fenrir,BLAST R6 Major Manchester 2024,Grand Final,2024-05-26 16:30:00,T1,,,,,,,,,T2,https://www.youtube.com/watch?v=tZ6KQrT9Cak,atk,,3,2,,,4,3,,
Team BDS,beastcoast,5 : 7,Border,Montagne,Azami,Glaz,Fenrir,BLAST R6 Major Manchester 2024,Grand Final,2024-05-26 16:30:00,Dec.,,,,,,,,,T2,https://www.youtube.com/watch?v=tZ6KQrT9Cak,def,,3,2,,,4,3,,
Team BDS,DarkZero,7 : 4,Border,Montagne,Valkyrie,Dokkaebi,Azami,BLAST R6 Major Manchester 2024,Semifinals,2024-05-25 18:15:00,T2,Nighthaven Labs,Chalet,Kafe Dostoyevsky,,Skyscraper,Clubhouse,Bank,,T2,https://www.youtube.com/watch?v=meynKBXPZ3o,def,,4,3,,,3,1,,
Team BDS,DarkZero,7 : 4,Oregon,Montagne,Mira,Glaz,Azami,BLAST R6 Major Manchester 2024,Semifinals,2024-05-25 18:15:00,T1,,,,,,,,,T2,https://www.youtube.com/watch?v=meynKBXPZ3o,atk,,3,4,,,1,3,,
Team BDS,DarkZero,0 : 0,Consulate,,,,,BLAST R6 Major Manchester 2024,Semifinals,2024-05-25 18:15:00,Dec.,,,,,,,,,T2,https://www.youtube.com/watch?v=meynKBXPZ3o,,,,,,,,,,
Team Secret,Team BDS,5 : 7,Chalet,Dokkaebi,Fenrir,Ying,Solis,BLAST R6 Major Manchester 2024,Quarterfinals,2024-05-24 09:00:00,T2,Kafe Dostoyevsky,Oregon,Nighthaven Labs,,Border,Skyscraper,Consulate,,T2,https://www.youtube.com/watch?v=HWkEw5d5uis,def,,1,4,,,2,5,,
Team Secret,Team BDS,4 : 7,Bank,Hibana,Azami,Ying,Mira,BLAST R6 Major Manchester 2024,Quarterfinals,2024-05-24 09:00:00,T1,,,,,,,,,T2,https://www.youtube.com/watch?v=HWkEw5d5uis,atk,,3,1,,,4,3,,
Team Secret,Team BDS,0 : 0,Clubhouse,,,,,BLAST R6 Major Manchester 2024,Quarterfinals,2024-05-24 09:00:00,Dec.,,,,,,,,,T2,https://www.youtube.com/watch?v=HWkEw5d5uis,,,,,,,,,,
Team Bliss,Team BDS,3 : 7,Bank,Ying,Solis,Montagne,Kaid,BLAST R6 Major Manchester 2024 - Playoffs,,2024-05-22 12:15:00,T1,Skyscraper,Kafe Dostoyevsky,Consulate,,Border,Nighthaven Labs,Chalet,,T1,https://www.youtube.com/watch?v=tFOugDyWqrk,def,,1,2,,,4,3,,
Team Bliss,Team BDS,2 : 7,Clubhouse,Dokkaebi,Solis,Montagne,Tubarão,BLAST R6 Major Manchester 2024 - Playoffs,,2024-05-22 12:15:00,T2,,,,,,,,,T1,https://www.youtube.com/watch?v=tFOugDyWqrk,def,,1,1,,,5,2,,
Team Bliss,Team BDS,0 : 0,Oregon,,,,,BLAST R6 Major Manchester 2024 - Playoffs,,2024-05-22 12:15:00,Dec.,,,,,,,,,T1,https://www.youtube.com/watch?v=tFOugDyWqrk,,,,,,,,,,
Team BDS,CAG Osaka,7 : 2,Kafe Dostoyevsky,Montagne,Solis,Ying,Valkyrie,BLAST R6 Major Manchester 2024 - Playoffs,,2024-05-21 12:00:00,T1,Consulate,Border,Chalet,,Nighthaven Labs,Clubhouse,Bank,,T1,https://www.youtube.com/watch?v=hO0FWhSVOS4,atk,,4,3,,,0,2,,
Team BDS,CAG Osaka,7 : 8,Skyscraper,Montagne,Kaid,Dokkaebi,Azami,BLAST R6 Major Manchester 2024 - Playoffs,,2024-05-21 12:00:00,T2,,,,,,,,,T1,https://www.youtube.com/watch?v=hO0FWhSVOS4,def,atk,3,3,0,1,3,3,0,2
Team BDS,CAG Osaka,8 : 7,Oregon,Montagne,Clash,Grim,Solis,BLAST R6 Major Manchester 2024 - Playoffs,,2024-05-21 12:00:00,Dec.,,,,,,,,,T1,https://www.youtube.com/watch?v=hO0FWhSVOS4,atk,def,1,5,0,2,1,5,0,1
Team BDS,PSG Talon,6 : 8,Oregon,Ying,Azami,Flores,Solis,BLAST R6 Major Manchester 2024 - Playoffs,,2024-05-20 13:25:00,Dec.,Bank,Border,Nighthaven Labs,Consulate,Skyscraper,Clubhouse,Chalet,Kafe Dostoyevsky,T2,https://www.youtube.com/watch?v=Ax4pYppjOoA,atk,def,2,4,0,0,2,4,1,1
Team BDS,Spacestation Gaming,7 : 5,Oregon,Grim,Azami,Ying,Fenrir,BLAST R6 Major Manchester 2024 - Playoffs,,2024-05-19 21:30:00,Dec.,Border,Bank,Chalet,Kafe Dostoyevsky,Nighthaven Labs,Skyscraper,Consulate,Clubhouse,T1,https://www.youtube.com/watch?v=62jY10xyOyg,def,,4,3,,,3,2,,
Team BDS,FURIA Esports,6 : 8,Clubhouse,Grim,Mira,Dokkaebi,Valkyrie,BLAST R6 Major Manchester 2024 - Playoffs,,2024-05-19 14:00:00,Dec.,Skyscraper,Consulate,Oregon,Kafe Dostoyevsky,Chalet,Nighthaven Labs,Border,Bank,T2,https://www.youtube.com/watch?v=P4n47OvCcVE,atk,atk,2,4,0,0,2,4,1,1
Into The Breach,Team BDS,7 : 2,Border,Grim,Solis,Ying,Fenrir,EU 2024 - Stage 1,Upper Bracket Final,2024-04-23 19:00:00,T2,Kafe Dostoyevsky,Skyscraper,Nighthaven Labs,,Consulate,Bank,Oregon,,T2,https://www.youtube.com/watch?v=yKHS5Wb8Svk&t=13415s,def,,2,5,,,1,1,,
Into The Breach,Team BDS,4 : 7,Clubhouse,Maverick,Tubarão,Ying,Valkyrie,EU 2024 - Stage 1,Upper Bracket Final,2024-04-23 19:00:00,T1,,,,,,,,,T2,https://www.youtube.com/watch?v=yKHS5Wb8Svk&t=13415s,def,,3,1,,,5,2,,
Into The Breach,Team BDS,4 : 7,Chalet,Grim,Solis,Ying,Tubarão,EU 2024 - Stage 1,Upper Bracket Final,2024-04-23 19:00:00,Dec.,,,,,,,,,T2,https://www.youtube.com/watch?v=yKHS5Wb8Svk&t=13415s,atk,,2,2,,,3,4,,
Team BDS,Wolves Esports,7 : 4,Clubhouse,Thatcher,Bandit,Grim,Tubarão,EU 2024 - Stage 1,Upper Bracket Semifinals,2024-04-22 19:15:00,T2,Bank,Chalet,Oregon,,Border,Kafe Dostoyevsky,Consulate,,T2,https://www.youtube.com/watch?v=4bKEoK91VR8&t=17452s,def,,3,4,,,2,2,,
Team BDS,Wolves Esports,7 : 3,Skyscraper,Ying,Azami,Glaz,Kaid,EU 2024 - Stage 1,Upper Bracket Semifinals,2024-04-22 19:15:00,T1,,,,,,,,,T2,https://www.youtube.com/watch?v=4bKEoK91VR8&t=17452s,atk,,3,4,,,0,3,,
Team BDS,Wolves Esports,0 : 0,Nighthaven Labs,,,,,EU 2024 - Stage 1,Upper Bracket Semifinals,2024-04-22 19:15:00,Dec.,,,,,,,,,T2,https://www.youtube.com/watch?v=4bKEoK91VR8&t=17452s,,,,,,,,,,
Team BDS,Fnatic,7 : 5,Chalet,Deimos,Valkyrie,Ying,Solis,EU 2024 - Stage 1,,2024-04-15 18:00:00,Dec.,Bank,Border,Oregon,Skyscraper,Consulate,Kafe Dostoyevsky,Nighthaven Labs,Clubhouse,T2,https://www.youtube.com/watch?v=dkD3-ldhIVY,atk,,5,2,,,4,1,,
Team BDS,Virtus.pro,7 : 5,Clubhouse,Maverick,Mira,Ying,Kaid,EU 2024 - Stage 1,,2024-04-08 18:00:00,Dec.,Bank,Kafe Dostoyevsky,Oregon,Consulate,Skyscraper,Chalet,Nighthaven Labs,Border,T1,https://www.youtube.com/watch?v=9VRSWqsKSaI,def,,3,4,,,2,3,,
Team BDS,Team Secret,8 : 7,Skyscraper,Ying,Tubarão,Dokkaebi,Solis,EU 2024 - Stage 1,,2024-04-02 16:00:00,Dec.,Bank,Nighthaven Labs,Border,Kafe Dostoyevsky,Oregon,Chalet,Consulate,Clubhouse,T1,https://youtu.be/uI5a9_S_WTk,def,atk,2,4,1,1,2,4,0,1
Team BDS,ENCE,3 : 7,Kafe Dostoyevsky,Grim,Solis,Ying,Fenrir,EU 2024 - Stage 1,,2024-04-01 18:00:00,Dec.,Border,Chalet,Clubhouse,Nighthaven Labs,Consulate,Skyscraper,Bank,Oregon,T1,https://www.youtube.com/watch?v=hFeZrmohCuw,def,,0,3,,,3,4,,
Team BDS,Wolves Esports,7 : 3,Skyscraper,Ying,Azami,Dokkaebi,Kaid,EU 2024 - Stage 1,,2024-03-26 19:00:00,Dec.,Bank,Chalet,Oregon,Clubhouse,Border,Kafe Dostoyevsky,Nighthaven Labs,Consulate,T2,https://www.youtube.com/watch?v=P9bjgvPSdBw,atk,,3,4,,,0,3,,
Team BDS,Into The Breach,7 : 1,Border,Ying,Fenrir,Finka,Solis,EU 2024 - Stage 1,,2024-03-25 18:00:00,Dec.,Bank,Nighthaven Labs,Consulate,Clubhouse,Kafe Dostoyevsky,Skyscraper,Oregon,Chalet,T2,https://www.youtube.com/watch?v=nKNM9Edkn9k,atk,,5,2,,,0,1,,
Team BDS,G2 Esports,7 : 2,Chalet,Deimos,Azami,Ying,Valkyrie,EU 2024 - Stage 1,,2024-03-19 18:00:00,Dec.,Kafe Dostoyevsky,Oregon,Skyscraper,Bank,Border,Clubhouse,Nighthaven Labs,Consulate,T2,https://www.youtube.com/watch?v=_binLzN5MxU,atk,,4,3,,,0,2,,
Team BDS,WYLDE,7 : 3,Kafe Dostoyevsky,Thatcher,Azami,Dokkaebi,Solis,EU 2024 - Stage 1,,2024-03-18 19:00:00,Dec.,Chalet,Clubhouse,Bank,Oregon,Skyscraper,Border,Nighthaven Labs,Consulate,T2,https://www.youtube.com/watch?v=1V5zSZxsNI0,atk,,4,3,,,1,2,,
Team BDS,G2 Esports,-1 : -1,Kafe Dostoyevsky,,,,,Malta Cyber Series VII,Grand Final,2024-03-10 16:00:00,T1,Bank,Oregon,,,Nighthaven Labs,Clubhouse,,,T1,,,,,,,,,,,
Team BDS,G2 Esports,5 : 7,Chalet,Grim,Mira,Twitch,Fenrir,Malta Cyber Series VII,Grand Final,2024-03-10 16:00:00,T2,,,,,,,,,T1,,def,,1,4,,,2,5,,
Team BDS,G2 Esports,7 : 1,Border,Osa,Azami,Ying,Solis,Malta Cyber Series VII,Grand Final,2024-03-10 16:00:00,T1,,,,,,,,,T1,,atk,,5,2,,,0,1,,
Team BDS,G2 Esports,7 : 2,Consulate,Ying,Azami,Montagne,Solis,Malta Cyber Series VII,Grand Final,2024-03-10 16:00:00,T2,,,,,,,,,T1,,def,,1,6,,,0,2,,
Team BDS,G2 Esports,0 : 0,Skyscraper,,,,,Malta Cyber Series VII,Grand Final,2024-03-10 16:00:00,Dec.,,,,,,,,,T1,,,,,,,,,,,
Team BDS,G2 Esports,7 : 2,Skyscraper,Ying,Kaid,Thatcher,Fenrir,Malta Cyber Series VII,Upper Bracket Final,2024-03-09 15:00:00,T2,Bank,Chalet,Kafe Dostoyevsky,,Nighthaven Labs,Border,Consulate,,T2,,def,,2,5,,,1,1,,
Team BDS,G2 Esports,7 : 3,Clubhouse,Ace,Kaid,Capitão,Fenrir,Malta Cyber Series VII,Upper Bracket Final,2024-03-09 15:00:00,T1,,,,,,,,,T2,,atk,,3,4,,,0,3,,
Team BDS,G2 Esports,0 : 0,Oregon,,,,,Malta Cyber Series VII,Upper Bracket Final,2024-03-09 15:00:00,Dec.,,,,,,,,,T2,,,,,,,,,,,
Team Secret,Team BDS,7 : 5,Skyscraper,Flores,Valkyrie,Grim,Fenrir,Malta Cyber Series VII,Upper Bracket Semifinals,2024-03-08 16:45:00,,,,,,,,,,,,def,,4,3,,,3,2,,
Team Secret,Team BDS,4 : 7,Nighthaven Labs,Dokkaebi,Fenrir,Ying,Valkyrie,Malta Cyber Series VII,Upper Bracket Semifinals,2024-03-08 16:45:00,,,,,,,,,,,,atk,,2,2,,,3,4,,
Team Secret,Team BDS,6 : 8,Consulate,Dokkaebi,Valkyrie,Ying,Fenrir,Malta Cyber Series VII,Upper Bracket Semifinals,2024-03-08 16:45:00,,,,,,,,,,,,def,atk,1,5,0,0,1,5,1,1
Team BDS,Team 86,7 : 2,Clubhouse,Ying,Azami,Dokkaebi,Kaid,Malta Cyber Series VII,Upper Bracket Quarterfinals,2024-03-08 15:30:00,Dec.,Chalet,Border,Bank,Nighthaven Labs,Kafe Dostoyevsky,Oregon,Consulate,Skyscraper,T1,,def,,5,2,,,1,1,,